ID,X_happiness,X_gender,T_raw,Y_raw,T,Y,uplift_score,segment
178184101,11,1,1,1,0,1,-0.508800810868942,안심군 (Sure Things)
178184104,8,1,1,1,0,1,-0.464697200276516,안심군 (Sure Things)
178184105,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178184106,6,1,1,1,0,1,-0.49238047852082173,안심군 (Sure Things)
178184201,10,1,1,1,0,1,-0.8427932361731887,안심군 (Sure Things)
178184202,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178184203,7,1,1,1,0,1,-0.6110632678608602,안심군 (Sure Things)
178184204,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178184205,10,1,1,1,0,1,-0.8427932361731887,안심군 (Sure Things)
178184301,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178184302,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178184303,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178184304,7,1,1,1,0,1,-0.6110632678608602,안심군 (Sure Things)
178184305,10,1,1,1,0,1,-0.8427932361731887,안심군 (Sure Things)
178184306,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
178184405,7,1,2,2,0,1,-0.6110632678608602,안심군 (Sure Things)
178184501,7,1,1,1,0,1,-0.6110632678608602,안심군 (Sure Things)
178184502,8,1,1,1,0,1,-0.464697200276516,안심군 (Sure Things)
181185101,11,1,1,1,0,1,-0.508800810868942,안심군 (Sure Things)
181185103,9,2,1,1,0,1,-0.5534077678822292,안심군 (Sure Things)
181185203,9,1,3,3,0,1,-0.4539504033874678,설득가능군 (Persuadables)
181185205,7,2,3,2,0,1,-0.6628561166735585,안심군 (Sure Things)
181185301,6,1,1,1,0,1,-0.49238047852082173,안심군 (Sure Things)
181185302,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
181185303,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
181185304,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
181185305,11,1,3,3,0,1,-0.508800810868942,안심군 (Sure Things)
181185401,8,1,3,3,0,1,-0.464697200276516,안심군 (Sure Things)
181185402,7,2,3,3,0,1,-0.6628561166735585,안심군 (Sure Things)
