ID,X_happiness,X_gender,T_raw,Y_raw,T,Y
111031102,4,2,3,3,0,1
111031103,7,2,3,3,0,1
111031105,4,2,3,3,0,1
111031202,8,2,2,2,0,1
111031204,8,2,2,2,0,1
111031301,10,2,2,2,0,1
111031302,9,2,2,4,0,0
111031303,5,2,4,4,1,0
111031305,4,2,3,4,0,0
111031401,7,2,3,3,0,1
111031402,10,2,2,2,0,1
111031403,8,2,2,3,0,1
111031404,8,2,3,3,0,1
111031501,9,2,3,3,0,1
111031502,4,2,2,2,0,1
111031504,8,2,2,2,0,1
111031505,8,2,3,3,0,1
111032101,9,1,1,2,0,1
111032104,9,1,3,3,0,1
111032105,3,1,1,1,0,1
111032201,8,1,1,1,0,1
111032202,8,1,3,3,0,1
111032203,5,1,2,2,0,1
111032204,8,1,2,1,0,1
111032205,10,1,2,3,0,1
111032301,4,1,3,2,0,1
111032303,11,1,1,1,0,1
111032305,11,1,2,2,0,1
111032401,8,2,2,2,0,1
111032402,6,2,2,2,0,1
111032403,10,2,2,2,0,1
111032404,8,2,2,2,0,1
111032405,8,2,3,2,0,1
111032501,8,2,3,3,0,1
111032502,8,2,3,3,0,1
111032503,7,2,1,1,0,1
111032504,8,2,3,3,0,1
111032505,4,2,4,4,1,0
111033102,11,1,1,1,0,1
111033103,6,1,2,2,0,1
111033105,7,1,1,1,0,1
111033201,8,1,2,2,0,1
111033202,8,1,3,3,0,1
111033203,9,1,3,3,0,1
111033204,6,1,2,2,0,1
111033301,7,2,2,2,0,1
111033303,7,2,4,3,1,1
111033304,6,2,3,3,0,1
111033305,8,2,2,2,0,1
111033401,10,1,3,3,0,1
111033402,9,1,2,2,0,1
111033403,9,1,3,1,0,1
111033404,9,1,1,1,0,1
111033405,7,1,3,3,0,1
111033501,8,1,4,4,1,0
111033502,7,2,3,3,0,1
111033503,9,2,4,4,1,0
111033504,7,2,2,4,0,0
111034101,5,2,2,2,0,1
111034102,7,2,3,2,0,1
111034103,4,2,2,2,0,1
111034104,9,2,2,2,0,1
111034105,8,2,2,2,0,1
111034201,7,2,3,2,0,1
